 Displacement; Horse_power; Weight; Acceleration; Model_year;Cylinders; Origin; Mpg
112;88;2605;19.6;82;4;1;28
155;107;2472;14;73;6;1;21
91;68;2025;18.2;82;4;3;37
135;84;2370;13;82;4;1;36
258;95;3193;17.8;76;6;1;17.5
183;77;3530;20.1;79;5;2;25.4
119;97;2300;14.7;78;4;3;27.2
429;198;4341;10;70;8;1;15
383;170;3563;10;70;8;1;15
89;71;1925;14;79;4;2;31.9
173;115;2595;11.3;79;6;1;28.8
400;190;4422;12.5;72;8;1;13
250;88;3139;14.5;71;6;1;18
225;100;3651;17.7;76;6;1;20
121;115;2795;15.7;78;4;2;21.6
318;150;4077;14;72;8;1;14
134;95;2560;14.2;78;4;3;27.5
225;105;3613;16.5;74;6;1;18
97;88;2279;19;73;4;3;20
307;130;3504;12;70;8;1;18
200;88;3060;17.1;81;6;1;20.2
440;215;4312;8.5;70;8;1;14
71;65;1773;19;71;4;3;31
101;83;2202;15.3;76;4;2;27
108;93;2391;15.5;74;4;3;26
232;90;3085;17.6;76;6;1;22.5
156;92;2620;14.4;81;4;1;25.8
116;90;2123;14;71;4;2;28
232;100;2914;16;75;6;1;20
140;88;2870;18.1;80;4;1;26.4
105;63;2125;14.7;82;4;1;38
134;96;2702;13.5;75;4;3;24
168;116;2900;12.6;81;6;3;25.4
140;88;2720;15.4;78;4;1;25.1
144;96;2665;13.9;82;4;3;32
79;67;1950;19;74;4;3;31
231;105;3535;19.2;78;6;1;19.2
98;70;2120;15.5;80;4;1;32.1
250;78;3574;21;76;6;1;18
350;105;3725;19;81;8;1;26.6
231;110;3907;21;75;6;1;17
86;64;1875;16.4;81;4;1;39
121;110;2660;14;73;4;2;24
79;67;2000;16;74;4;2;31
318;150;4135;13.5;72;8;1;15
199;90;2648;15;70;6;1;21
225;100;3430;17.2;78;6;1;20.5
120;88;2160;14.5;82;4;3;36
135;84;2490;15.7;81;4;1;27.2
113;95;2278;15.5;72;4;3;24
97.5;80;2126;17;72;4;1;25
318;150;3399;11;73;8;1;15
318;150;3755;14;76;8;1;13
151;88;2740;16;77;4;1;24.5
90;48;2085;21.7;80;4;2;44.3
400;175;4464;11.5;71;8;1;14
350;165;3693;11.5;70;8;1;15
400;190;4325;12.2;77;8;1;15.5
98;60;2164;22.1;76;4;1;24.5
304;150;3672;11.5;72;8;1;17
89;62;2050;17.3;81;4;3;37.7
140;72;2565;13.6;76;4;1;26.5
85;65;2020;19.2;79;4;3;31.8
360;150;3940;13;79;8;1;18.5
98;70;2125;17.3;82;4;1;36
97;88;2100;16.5;72;4;3;27
455;225;3086;10;70;8;1;14
302;137;4042;14.5;73;8;1;14
250;105;3897;18.5;75;6;1;16
79;70;2074;19.5;71;4;2;30
90;75;2125;14.5;74;4;1;28
302;139;3205;11.2;78;8;1;18.1
163;133;3410;15.8;78;6;2;16.2
351;152;4215;12.8;76;8;1;14.5
318;150;4457;13.5;74;8;1;14
151;90;2678;16.5;80;4;1;28
232;100;2634;13;71;6;1;19
120;74;2635;18.3;81;4;3;31.6
232;100;2789;15;73;6;1;18
455;225;4951;11;73;8;1;12
318;150;4237;14.5;73;8;1;14
360;170;4654;13;73;8;1;13
156;122;2807;13.5;73;6;3;20
156;105;2745;16.7;78;4;1;23.2
116;75;2158;15.5;73;4;2;24
107;90;2430;14.5;70;4;2;24
225;110;3360;16.6;79;6;1;20.6
168;132;2910;11.4;80;6;3;32.7
225;95;3785;19;75;6;1;18
120;97;2506;14.5;72;4;3;23
200;85;3070;16.7;78;6;1;20.8
120;75;2542;17.5;80;4;3;31.3
97;92;2288;17;72;4;3;28
225;100;3630;17.7;77;6;1;19
91;70;1955;20.5;71;4;1;26
318;150;3777;12.5;73;8;1;15
350;145;4055;12;76;8;1;13
400;150;4464;12;73;8;1;13
98;79;2255;17.7;76;4;1;26
140;92;2865;16.4;82;4;1;24
232;100;2945;16;73;6;1;18
304;150;3433;12;70;8;1;16
351;158;4363;13;73;8;1;13
302;129;3725;13.4;79;8;1;17.6
350;155;4502;13.5;72;8;1;13
390;190;3850;8.5;70;8;1;15
163;125;3140;13.6;78;6;2;17
115;95;2694;15;75;4;2;23
200;81;3012;17.6;76;6;1;24
302;140;4141;14;74;8;1;16
122;96;2300;15.5;77;4;1;25.5
97;60;1834;19;71;4;2;27
85;70;1945;16.8;77;4;3;33.5
98;80;1915;14.4;79;4;1;35.7
454;220;4354;9;70;8;1;14
72;69;1613;18;71;4;3;35
305;145;3880;12.5;77;8;1;17.5
98;65;2045;16.2;81;4;1;34.4
145;76;3160;19.6;81;6;2;30.7
105;70;2200;13.2;79;4;1;34.2
91;68;1985;16;81;4;3;34.1
232;90;3211;17;75;6;1;19
107;86;2464;15.5;76;4;2;28
97;67;1985;16.4;77;4;3;30
225;100;3233;15.4;76;6;1;22
173;115;2700;12.9;79;6;1;26.8
302;140;4294;16;72;8;1;13
260;110;4060;19;77;8;1;17
105;74;1980;15.3;82;4;2;36
98;80;2164;15;72;4;1;28
318;140;4080;13.7;78;8;1;17.5
121;80;2670;15;79;4;1;27.4
119;82;2720;19.4;82;4;1;31
231;115;3245;15.4;79;6;1;21.5
107;75;2205;14.5;82;4;3;36
98;83;2219;16.5;74;4;2;29
98;65;2380;20.7;81;4;1;29.9
351;138;3955;13.2;79;8;1;16.5
318;140;3735;13.2;78;8;1;19.4
350;145;4440;14;75;8;1;15
97;46;1835;20.5;70;4;2;26
113;95;2372;15;70;4;3;24
250;100;3781;17;74;6;1;16
120;87;2979;19.5;72;4;2;21
258;110;3730;19;75;6;1;15
250;100;3329;15.5;71;6;1;17
429;208;4633;11;72;8;1;11
112;85;2575;16.2;82;4;1;31
225;85;3465;16.6;81;6;1;17.6
140;90;2264;15.5;71;4;1;28
